company_name,description,founded_year,employee_count,employee_cagr,growth_score,thematic_sector
GeoPura,"Provides renewable energy solutions through generation, storage, and distribution of hydrogen-based zero-emission fuels for construction, transportation, and events.",2019,138,90.4,0.315,Smart Energy Storage & Grid Flexibility Solutions
PlugMeIn,"Provides end-to-end installation and maintenance services for commercial solar panel systems, battery storage solutions, and EV charging infrastructure.",2010,127,81.7,0.223,Smart Energy Storage & Grid Flexibility Solutions
Axis Well Technology,"Independent consultancy providing specialist expertise in Exploration and Production, Decommissioning, and Low Carbon solutions including CCS services.",2001,472,68.3,0.177,Smart Energy Storage & Grid Flexibility Solutions
Ohme,"Provides smart, affordable EV charging technology with residential chargers that integrate with smart energy tariffs for optimized charging.",2017,303,52.2,0.319,Smart Energy Storage & Grid Flexibility Solutions
Mobile Power Ltd.,"Pay-per-use battery technology company delivering sustainable energy solutions via solar power stations and proprietary batteries.",2013,112,50.3,0.159,Smart Energy Storage & Grid Flexibility Solutions
Zenobe Energy,"Developer, owner, and operator of battery storage assets providing intelligent flexible power solutions to EV fleet operators and utilities.",2017,337,35.7,0.065,Smart Energy Storage & Grid Flexibility Solutions
Statera Energy,"Builds, owns, and operates grid-scale energy storage and generation including battery systems, pumped hydro, and green hydrogen production.",2015,145,34.2,0.159,Smart Energy Storage & Grid Flexibility Solutions
Octopus Electric Vehicles,"Provides comprehensive EV leasing solutions including personal leasing, salary sacrifice schemes, and V2G technology integration.",2018,462,32.9,0.054,Smart Energy Storage & Grid Flexibility Solutions
GivEnergy,"Provider and manufacturer of residential and commercial battery energy storage systems with inverters, EV chargers, and energy management software.",2018,105,28.1,0.224,Smart Energy Storage & Grid Flexibility Solutions
ev.energy,"Platform for smart EV charging and energy management, offering solutions for utilities, individual EV owners, and V2X technology.",2018,108,26.8,0.044,Smart Energy Storage & Grid Flexibility Solutions
InstaVolt,"Develops, installs, owns, and operates ultra-rapid EV charging stations delivering 50kW to 160kW power.",2016,135,25.1,0.037,Smart Energy Storage & Grid Flexibility Solutions
HiiROC,"Produces clean hydrogen using plasma technology to split hydrocarbons without CO2 emissions, also creating carbon black by-product.",2019,105,24.1,0.045,Smart Energy Storage & Grid Flexibility Solutions
Nyobolt,"Specializes in high-power ultrafast charging battery technology for automotive and industrial applications.",2020,115,21.6,0.046,Smart Energy Storage & Grid Flexibility Solutions
Flexitricity,"Provider of flexible energy solutions, optimizing energy assets and demand-side flexibility using AI and advanced modeling.",2004,122,19.8,0.017,Smart Energy Storage & Grid Flexibility Solutions
Actemium UK,"Provider of engineered electrical, automation, and mechanical solutions including renewable energy systems integration.",1907,219,19.3,0.023,Smart Energy Storage & Grid Flexibility Solutions
Segen,"Leading distributor and wholesaler of renewable energy solutions including solar PV, energy storage, and EV charging.",2004,249,17.1,0.029,Smart Energy Storage & Grid Flexibility Solutions
Nexeon,"Develops and manufactures advanced silicon-based anode materials for lithium-ion batteries enhancing energy density.",2006,110,11.7,0.006,Smart Energy Storage & Grid Flexibility Solutions
Edina,"Provider of energy transition solutions specializing in on-site power generation, CHP plants, and battery energy storage.",1985,181,10.8,0.011,Smart Energy Storage & Grid Flexibility Solutions
Turbo Power Systems,"Designer and manufacturer of power conversion technologies including electric motors, generators, and EV charging solutions.",1986,130,6.0,0.005,Smart Energy Storage & Grid Flexibility Solutions
Invinity Energy Systems Plc,"Manufactures flow batteries for large-scale energy storage using vanadium ion technology.",2020,170,5.7,0.002,Smart Energy Storage & Grid Flexibility Solutions
Nexus Infrastructure Plc,"Provider of essential infrastructure services including utility network design and EV charging infrastructure.",1976,450,1.6,0.001,Smart Energy Storage & Grid Flexibility Solutions
The Faraday Institution,"Independent institute for electrochemical energy storage research, skills development, and commercialisation.",2017,171,0.4,0.015,Smart Energy Storage & Grid Flexibility Solutions
myenergi,"Specializes in renewable eco-smart technology including EV chargers, solar power diverters, and home battery storage.",2016,177,0.2,0.006,Smart Energy Storage & Grid Flexibility Solutions
GRIDSERVE UK OMM Ltd.,"Technology-enabled sustainable energy business focused on EV charging infrastructure and renewable energy solutions.",2016,182,-0.7,0.009,Smart Energy Storage & Grid Flexibility Solutions
Fichtner Consulting Engineers Ltd.,"Independent engineering consultancy for energy and waste sectors including decarbonisation and renewable energy.",1991,440,-1.1,0.007,Smart Energy Storage & Grid Flexibility Solutions
Cenex,"Not-for-profit organization specializing in low carbon vehicles and associated energy infrastructure.",2005,163,-3.4,0.003,Smart Energy Storage & Grid Flexibility Solutions
ITM Power,"Designs and manufactures integrated hydrogen energy systems for energy storage and clean fuel production via water electrolysis.",2001,319,-3.6,0.304,Smart Energy Storage & Grid Flexibility Solutions
